i_factor,sample,blockNumber,blockHash,timeStamp,hash,nonce,transactionIndex,from,to,value,gas,gasPrice,input,methodId,functionName,contractAddress,cumulativeGasUsed,txreceipt_status,gasUsed,confirmations,isError
1,sample-1,20137178,0xce293cbbf57175d1fc214244aba17c89a5605fc0ad3b252141600cb8e23e4c23,1718937683,0x4e20376d1da11c9e1f1d90c95dda5d888cc4afaf92514bcf2dce9c5d0ed6f72d,257,86,0x42d30b86fc815dd6e05e0dee8c3b2f7fc0035af5,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,131649,3349206394,0x42842e0e00000000000000000000000042d30b86fc815dd6e05e0dee8c3b2f7fc0035af5000000000000000000000000006b4cab218f8569640916ef7c20f4091bbb50520000000000000000000000000000000000000000000000000000000000000582360c6ebe,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",,6979302,1,99314,706280,0
1,sample-1,20057469,0xc4ba115f1c908e87ad0ce1c489884cabb416dac3131b228bd000ff8a164a8401,1717974731,0x3a89d95089f5e47ecb7cdfc1482d2feaa774407082e404ebd8a4aff5ead4c346,1429,250,0xab0a13710c5efd1f149212782593bce505aea44c,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,65853,4085832432,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,26285730,1,51894,785989,0
1,sample-1,20049862,0xbfb770d7051fb6395567e36120a968c2f4a173a8175a427da2053c10767efd2b,1717882883,0x50bdf834ef2261bb68513b2722c629d18addc4a4a17084432736d520d09aa1b0,3087,148,0x26c46e6f7b37e3eea85b6edf0e95583d0bb292ad,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,65853,5311226800,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,11602804,1,51894,793596,0
1,sample-1,20019710,0xb2eae464b267c31dff4afe952f04f8443bbb289b6900ca1b44a888fbfbd94494,1717519211,0x5d16f75e24b2a9021bc165187c54097209ef8511d551eabee8abf8626d223821,4,178,0x26245d7d0212513c9552d90dc3f53e377e4b7592,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,68487,18399789845,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,16735044,1,51894,823748,0
1,sample-1,19970486,0x365dce117026ae1ef3dfd6fbdbcf93303162a302d79a0ce7bbfb3585aa83bd88,1716924863,0x9e109d1c6a2c14d9ddf1b176994618cd0c31ad813dad625916ef78e5d4a5a095,63,340,0x0e50d296b809f0743f85bd2c5928a5617e6ada51,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,35351,14271471960,0xa22cb465000000000000000000000000616ac240bccc24d0e77f994019e4a407e8dee4b20000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,26917809,1,30066,872972,0
1,sample-1,19643960,0x97eb5d782a57609a701295c939eb89267ade9a68dab257708677a778bee6f93f,1712978699,0x0e6b14f454eadd43f1371a9d9f671032954b04e90c3f8cc933b48e4f4ed2083b,73,145,0x196938a6bb532c8f928f8f79c34cc16f365d11c2,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,35266,12423971393,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,14308921,1,29982,1199498,0
1,sample-1,19624997,0xb8a13e6f8c73c1c4bcfe2540faa328b4a02809712f2f738ef97c7b18e3fdd690,1712749319,0xba43dc1fee7635c8ac3640bd49f486f7d217a475a123803af63389b831328443,7573,135,0x3d72b838ef583cf6b29a58c67008f19d251ed85d,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,129645,17496565784,0x42842e0e0000000000000000000000003d72b838ef583cf6b29a58c67008f19d251ed85d000000000000000000000000d11fb8174e25d48c11263f4ad8f9614502154f830000000000000000000000000000000000000000000000000000000000000fe3360c6ebe,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",,12525576,1,97784,1218461,0
1,sample-1,19392258,0xe470c53ed6f23d55a980746a549fa3d93597b09fc3b262e4c4258669a92af6a8,1709922755,0xe23af378dd5f48b46bd4772929fb312aef69156bdbfae4b5e9a87a0c335614fc,326,133,0x8706eea0ccace0e96684a5964fbeb2ba6170fa2f,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,53026,65505458558,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,29835403,1,30066,1451200,0
1,sample-1,19011243,0x45137f4cb6f2345d3f46a07478e24a78eb0aff9608048ba67d1ffcdded3cd75d,1705309091,0x839d221d81f1ae2a6b510e74b2e2d3ecb1d1923a5e73e5ce35588c7f49a173c1,456,93,0x2412946dc3b75500e908ddf40f4ae768a4701f3a,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,34961,18579870484,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,6468187,1,30066,1832215,0
1,sample-1,18890696,0x5b257d7ad4d5c73544609cf831522c77dc5eccfd422045068889677d77fa1918,1703846363,0x519365605bece7e0394764e9b3585dc7c499429a12d93903b99076f4073a80f7,699,115,0x30d131abf79be98c19a349a6bed30a5392d6bd09,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,34961,20378397002,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,8081554,1,30066,1952762,0
