i_factor,sample,blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,input,contractAddress,cumulativeGasUsed,gasUsed,confirmations,methodId,functionName
1,sample-1,20356511,1721584199,0xfc0140a7b9389c62e8870cf4f331f0b49de4d3875af42bdaa254c0e0489bf996,985,0x3a8a26d7917455e7805d3a161d2efd3058d5ba98af01dc151ff3594b5734f88c,4,0x979fbe94ae021730d1e2a7894343ab060c173bba,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,54607,3561692794,0,1,0x095ea7b3000000000000000000000000000000000022d473030f116ddee9f6b43ac78ba3ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,505647,53811,486105,0x095ea7b3,"approve(address _spender, uint256 _value)"
1,sample-1,20347940,1721480879,0xfdfecff1c56c664ca21f9b4e6287129b9d8f2b8beada674a98b561a6946b183f,366,0xbf44b258ae852341c3e73b5adc560eafd2ba24e9ee321ed5cc2f26da4ad0185f,46,0xd876ef8947f320a8feb91b4f26931e7a2ee50c08,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,99885,4508859179,0,1,0xa9059cbb000000000000000000000000bdb322f45207c048e15327346eee58451c335188000000000000000000000000000000000000000000006af64bf7d450d27f317c,,8069826,60968,494676,0xa9059cbb,"transfer(address _to, uint256 _value)"
1,sample-1,20343168,1721423327,0x2b481160653ddfc81fcf21dc0809f774621e930726a661574db0ffa03e6254bf,11,0x14a1620aa2e8bbdeaf5eb35d173b09e753123d26ce4b6a2e571543fbe7aa8759,48,0xc80204982507f2017b5dc0ea953e7ab5f1bf512e,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,76578,6275929017,0,1,0xa9059cbb000000000000000000000000b625bea7ba699eddb06ae04a7ea0b662185a7f860000000000000000000000000000000000000000000027abe2fdcf3acf1aeae0,,1822072,60968,499448,0xa9059cbb,"transfer(address _to, uint256 _value)"
1,sample-1,20342394,1721413991,0xfe3068f9c8ac06e0c62145e03ea394b5ba30e4bd167ee62bd77ac133bfbbc442,12,0x0496decb5d709aff549598b97c477f79c6b27c0754f032559f3023ee88fbc6a6,93,0xb625bea7ba699eddb06ae04a7ea0b662185a7f86,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,90000,7450189013,0,1,0xa9059cbb000000000000000000000000c80204982507f2017b5dc0ea953e7ab5f1bf512e0000000000000000000000000000000000000000000027abe2fdcf3acf1aeae0,,21114103,60968,500222,0xa9059cbb,"transfer(address _to, uint256 _value)"
2,sample-1,20356511,1721584199,0xfc0140a7b9389c62e8870cf4f331f0b49de4d3875af42bdaa254c0e0489bf996,985,0x3a8a26d7917455e7805d3a161d2efd3058d5ba98af01dc151ff3594b5734f88c,4,0x979fbe94ae021730d1e2a7894343ab060c173bba,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,54607,3561692794,0,1,0x095ea7b3000000000000000000000000000000000022d473030f116ddee9f6b43ac78ba3ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,505647,53811,486105,0x095ea7b3,"approve(address _spender, uint256 _value)"
2,sample-1,20347940,1721480879,0xfdfecff1c56c664ca21f9b4e6287129b9d8f2b8beada674a98b561a6946b183f,366,0xbf44b258ae852341c3e73b5adc560eafd2ba24e9ee321ed5cc2f26da4ad0185f,46,0xd876ef8947f320a8feb91b4f26931e7a2ee50c08,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,99885,4508859179,0,1,0xa9059cbb000000000000000000000000bdb322f45207c048e15327346eee58451c335188000000000000000000000000000000000000000000006af64bf7d450d27f317c,,8069826,60968,494676,0xa9059cbb,"transfer(address _to, uint256 _value)"
2,sample-1,20343168,1721423327,0x2b481160653ddfc81fcf21dc0809f774621e930726a661574db0ffa03e6254bf,11,0x14a1620aa2e8bbdeaf5eb35d173b09e753123d26ce4b6a2e571543fbe7aa8759,48,0xc80204982507f2017b5dc0ea953e7ab5f1bf512e,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,76578,6275929017,0,1,0xa9059cbb000000000000000000000000b625bea7ba699eddb06ae04a7ea0b662185a7f860000000000000000000000000000000000000000000027abe2fdcf3acf1aeae0,,1822072,60968,499448,0xa9059cbb,"transfer(address _to, uint256 _value)"
2,sample-1,20342394,1721413991,0xfe3068f9c8ac06e0c62145e03ea394b5ba30e4bd167ee62bd77ac133bfbbc442,12,0x0496decb5d709aff549598b97c477f79c6b27c0754f032559f3023ee88fbc6a6,93,0xb625bea7ba699eddb06ae04a7ea0b662185a7f86,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,90000,7450189013,0,1,0xa9059cbb000000000000000000000000c80204982507f2017b5dc0ea953e7ab5f1bf512e0000000000000000000000000000000000000000000027abe2fdcf3acf1aeae0,,21114103,60968,500222,0xa9059cbb,"transfer(address _to, uint256 _value)"
2,sample-1,20330977,1721276363,0xee0cd1c9080e2bba03c3c906b1a0a9f62d5620b86cb368338517df1d79f3915e,88,0x8e0eedb83e0c88440ed51fd64bdfab5d910f7f079e8ee46c161c7a0e6887cb1b,85,0xa994619567b4cea915a7d6f6dee83b4cd54fea78,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,99903,5236110314,0,1,0xa9059cbb000000000000000000000000e7e6c31db305d56bd283bfc041826cc0168eeaf90000000000000000000000000000000000000000000136456e8b45e0cda96975,,13534136,60980,511639,0xa9059cbb,"transfer(address _to, uint256 _value)"
2,sample-1,20310681,1721031647,0x1d2e12405035c7dc6ca909bf592eb479c3bd96975473bca5bf042352f8cc8a20,219,0xa3d1184cb48ac075916486e4c70015a1f346fc284579b9403b3bc59fef31536d,146,0x8e71e880c8b2a0923e34498df256333e1566d988,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,65602,3659549287,0,1,0x095ea7b3000000000000000000000000d02c8a355599fee7e4f1d1d71f7a01c0108e353cffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,13676477,53871,531935,0x095ea7b3,"approve(address _spender, uint256 _value)"
