i_factor,sample,blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,input,contractAddress,cumulativeGasUsed,gasUsed,confirmations,methodId,functionName
1,sample-1,19061897,1705921871,0x598f2303d6c653bee7ad6c79a345369c8a805c6e49f0fed0b7d635d12ffd7f49,25,0x838fcbc87c330172536e1f83dd5a6c99bc3e8ce259d589870f4149770bf8f2ef,67,0x67ce06b8b988b9ed3c21efc8018b86520d5b472b,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,63353,16652248221,0,1,0x095ea7b3000000000000000000000000def1c0ded9bec7f1a1670819833240f027b25effffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,10943781,53871,1780719,0x095ea7b3,"approve(address _spender, uint256 _value)"
1,sample-1,17034744,1681336931,0x741ddb54b54f7458b5f274826fccebfc78b1af4543cf6beb3484cf0bcb4c5658,40,0xe52775456306cbbca5b274d7c3391e35d636ab900ca9bae7665de7e2872effee,131,0xfcf864d5fa562b0fca2b27fc5cc20037d3780ee0,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,44278,19343407332,0,1,0xa9059cbb000000000000000000000000fcf864d5fa562b0fca2b27fc5cc20037d3780ee00000000000000000000000000000000000000000000000008ac7230489e80000,,8101242,41008,3807872,0xa9059cbb,"transfer(address _to, uint256 _value)"
1,sample-1,17539201,1687485947,0x180eaf867dad46fab02ad66bb2bacd369001b831f598367d7482297fbedacf98,4660,0x5104afce7fe5f7b95e300d4e974f2a291349cd6ff8da69e5b7d588812b872373,10,0x00001f78189be22c3498cff1b8e02272c3220000,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,96678,16921568653,0,1,0x23b872dd000000000000000000000000d5ac7807d8344235f542a0b5504191c9e1d30e850000000000000000000000007438674541071ae0b2fdb2bd76a80b29df78488a000000000000000000000000000000000000000000001a96df141231fb88bfcc,,1009071,73704,3303415,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)"
1,sample-1,17904848,1691916539,0xd9009c2480158602d62d8219c30004c5d4f0110f38dc75e41f8cf91459efde32,37,0xdaa43a24e6667a4aa2ae94179953dc14656266d4bf8e6a47eda32436506dba99,17,0xf5b4574778d7a58f58c20dc066a9bafa3ccb125b,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,81716,16380927903,0,1,0x3950935100000000000000000000000000002f8d96680e82f1c34727b70ada9c335e0000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,3276577,54122,2937768,0x39509351,"increaseAllowance(address spender, uint256 value)"
1,sample-2,20167418,1719303083,0x1ea77c0b063e65a5f652d9b898f00ec5af30ed80d814fc711e0c2de689e119d2,683,0x094596c5ee2560e11f82629b0e7b478387d30d562050e55e26d3ed7fed75a372,120,0x1a10b109ff49cca2af8bdc356f0bcf794c7a8cb9,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,54607,5316810538,0,1,0x095ea7b3000000000000000000000000000000000022d473030f116ddee9f6b43ac78ba3ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,9311604,53811,675198,0x095ea7b3,"approve(address _spender, uint256 _value)"
1,sample-2,19068741,1706005307,0xc2213f6ffa4a0089dcf193d8dcd597fd9ecec18d5e56c96ec3a85eb17cca1c04,2852,0x25747587293c30f47fdbe01beb400eb8dce79ae59050df38c9345a5a8cb8a877,35,0xa701f9db977c98f9043b20225b4322f94dbd50db,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,64880,18476821081,0,1,0xa9059cbb0000000000000000000000000d0707963952f2fba59dd06f2b425ace40b492fe0000000000000000000000000000000000000000000165f10d5fcd1a0e211b8a,,1324505,43880,1773875,0xa9059cbb,"transfer(address _to, uint256 _value)"
1,sample-2,19026394,1705491899,0x584db90a779154c85c1502d0c30e6b772a3cdb52afd03731f07beb73387fee73,6,0x51d9ce87d7a60af00c886ea638b6169228daa566f7c678cdb6f8899edd6063fd,97,0x63e7e75297001396d086700e40bc9aae2a883c81,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,111496,33224789929,0,1,0x23b872dd000000000000000000000000029669f3366203d2bdd756468f47faca18595d5e00000000000000000000000063e7e75297001396d086700e40bc9aae2a883c81000000000000000000000000000000000000000000005c205318d11e98f80000,,5529504,73668,1816222,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)"
1,sample-2,18588725,1700189351,0x381d038abd8e9cad49e076e01d82e86b8146e7b65b2890a5fcd84670887848dc,191,0x4a459ec4acbf5d5152bc4807659619ef5aa270f41a466d3efda093b2e2381763,11,0xfe9c8dd194970a8cb715413bb09020a2767d4b02,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,81715,46803315374,0,1,0x395093510000000000000000000000000000c5d73291e9ae226e7fe59ea1e6b68be30000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,1849467,54122,2253891,0x39509351,"increaseAllowance(address spender, uint256 value)"
1,sample-3,17795636,1690596743,0x382c131316a9abb51762ec9767a77161e045624acf4432bfe3c52d87547e3d64,4,0xa8c06675ebb6cdfc087ba7c61de7f5b6b0b558b9da621f28f05c7d44507469c2,56,0xfde75348816a7bdb0fbcbae484fdf7ea20350a8f,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,62977,18985598996,0,1,0x095ea7b3000000000000000000000000def1c0ded9bec7f1a1670819833240f027b25effffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,,7335454,53871,3046980,0x095ea7b3,"approve(address _spender, uint256 _value)"
1,sample-3,19166653,1707191675,0xf730555b2cb369bd7408cf17b807ee57ef1b3d652d87fd0c88204dfb02fed194,5597252,0x2faa7f4a09f639a06719c1dbd67ed852a7ff94a8a8778af40e0303ec81ed8a99,42,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x4b19c70da4c6fa4baa0660825e889d2f7eabc279,0,1000000,19770840455,0,1,0xa9059cbb00000000000000000000000063756a3c3bf677baab9d9e06457402ed05be857000000000000000000000000000000000000000000001374d712ab9586a850000,,5909175,65756,1675963,0xa9059cbb,"transfer(address _to, uint256 _value)"
