i_factor,sample,blockNumber,blockHash,timeStamp,hash,nonce,transactionIndex,from,to,value,gas,gasPrice,input,methodId,functionName,contractAddress,cumulativeGasUsed,txreceipt_status,gasUsed,confirmations,isError
1,sample-1,19331081,0x5b6e423ed928c8e28eaf114077e0daccf4abde4bb25cf5b42d12f9e131544ca9,1709184395,0x7bc048378f6b84929b7fd9e29df34f5971627d7c0baa0d738bc502e7e38714a4,13,186,0x3eff6e183863636d8d45ad727893c2ce5b99b1a2,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,66946,56513146454,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,11995153,1,51105,1512320,0
1,sample-1,18919009,0x4bb8c293f7ceef0d4f7b77abc0f62e7bd6b30911e1b0b737063b8c61c619ef2c,1704190151,0xe9779933219cf8ca6174fc0a3ef8b426d219b90b115f8615e64833117ab206fc,4320,200,0x2be60b0fb138479f7333086cc2460620436a110e,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51239,17671565271,0xa22cb465000000000000000000000000f42aa99f011a1fa7cda90e5e98b277e306bca83e0000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,11356068,1,29277,1924392,0
1,sample-1,18825515,0xc46ea0aa3808bdad554100005a942ade1c2aa3dd5eafabdc5600a3c567d37b8a,1703055863,0xd3d2a8bae17dc0d5821e6a4230a33e804bf752c0e3ca55185550acca0fef99e7,1621,97,0xa9c1f50f769d51d119b0e24e10ebac46c9b203b9,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51542,40143367378,0xa22cb4650000000000000000000000002f18f339620a63e43f0839eeb18d7de1e1be4dfb0000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,9738812,1,51189,2017886,0
1,sample-1,18767402,0x0f7ab44c0e41cf0fb0fab64155bdbe574faceb59b56af74c54cd58177682b3ec,1702351391,0x225e96a846797d6730350b8b94fec40f5e0e46679e40fd57b36ad6fcfdaf28dc,3141,149,0x947a85e4b1392e7ce7e7c8048dba79e4379a34ea,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51458,31430584884,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,15402298,1,51105,2075999,0
1,sample-1,18625022,0xd4e29eb959baa35ca927f0cdc2c2c1c37e12a34f6afae743cd2af506217f1015,1700628731,0xd984e1529385fab3809017ac693d16b2d03141a1e5f3c312297f9c49c437e6b8,761,185,0x9bd38a429329f60cb364e7c55df0a3659f5ea14c,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51542,22307019059,0xa22cb4650000000000000000000000002f18f339620a63e43f0839eeb18d7de1e1be4dfb0000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,15927520,1,51189,2218379,0
1,sample-1,18574506,0x22f427735509b8a41a929e23d84225f05ef4b021417c4eda944e116468190378,1700017583,0x12bc8bcb0b97afeb3224e4d1ef5bc83fac9162e6874e62ae956c5147c9ecaca9,2731,96,0x659cdfd131772fe60507dab2faa304373988e5cf,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51542,30747424871,0xa22cb4650000000000000000000000002f18f339620a63e43f0839eeb18d7de1e1be4dfb0000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,9273458,1,51189,2268895,0
1,sample-1,18567754,0xb195c431d2b6e46b4baca86f55587c1ecf34932228b0827e0fe3da97852440d3,1699936103,0x68b1d2bbe3928520d2551b20d88a61ca3e3917678de611d90b0713f12b7a802c,554,24,0xbf20064c795362e7a87f6d21fe3c57bd99e4a9a5,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,34075,23797359447,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,2360117,1,29193,2275647,0
1,sample-1,18514729,0x0e84ec1b145d837c9193412913b6030b175b9246cc815aa36e823afdcd2226b7,1699295375,0xa73ab065d755e0bfacc46cf5f06637f2aecd5eaeb7f966fb5d6234ed6aa54723,2442,105,0x80acf6c7cd6075510e0fcd4f9986c77cd60d6253,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,51542,43288389276,0xa22cb4650000000000000000000000002f18f339620a63e43f0839eeb18d7de1e1be4dfb0000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,10711098,1,51189,2328672,0
1,sample-1,18292134,0x5d714efc40a924bc0283ed6a9ad3832f8c4179217b172864dd7e9397a15169e6,1696603439,0x9d129c457e57846b1976b2c40a94e3465bac4c8a26f61262ecda1f77d12a1c26,814,125,0xeb18ab518389ef480102a12a6c9072a99dcce9bc,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,34099,11695578025,0xa22cb46500000000000000000000000000000000000111abe46ff893f3b2fdf1f759a8a80000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,14871153,1,29217,2551267,0
1,sample-1,18188759,0x6a3ea97fbb1ece77375e078463c9703bed52ff884e688c4e777e7d2296f769d3,1695353831,0x0c90904c55ffa480ccc93c9ed3c1f193255c94b7b0e68e4c17f68dae13b65a50,487,197,0x7624616e70a4a43454b48989ef79cbbf6b9be49b,0x7def9c6b08718cc9e326ccb057b6c384e6788ad0,0,34075,7718142482,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000000,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,25502222,1,29193,2654642,0
